ax,ay,az,gx,gy,gz,target,target_name
-0.03,1.21,-0.15,-560.42,-22.77,-1.46,0.0,clockwise_wrist_turn
-0.07,1.05,-0.13,-627.93,-21.18,-2.26,0.0,clockwise_wrist_turn
-0.03,0.82,-0.13,-682.74,-20.39,1.59,0.0,clockwise_wrist_turn
0.01,0.53,-0.07,-713.68,-13.73,0.98,0.0,clockwise_wrist_turn
-0.0,0.25,0.07,-728.39,-12.08,-1.89,0.0,clockwise_wrist_turn
0.0,0.1,0.21,-733.22,-9.52,1.16,0.0,clockwise_wrist_turn
0.03,-0.05,0.34,-723.51,-4.33,1.16,0.0,clockwise_wrist_turn
0.04,-0.3,0.48,-688.78,0.92,-3.3,0.0,clockwise_wrist_turn
0.05,-0.59,0.67,-617.55,4.03,-2.44,0.0,clockwise_wrist_turn
0.03,-0.81,0.87,-517.64,6.71,1.89,0.0,clockwise_wrist_turn
0.02,-0.91,1.03,-398.86,9.77,8.85,0.0,clockwise_wrist_turn
0.05,-0.94,1.14,-275.88,12.51,14.28,0.0,clockwise_wrist_turn
-0.01,-0.95,1.18,-156.19,5.31,9.16,0.0,clockwise_wrist_turn
-0.11,-0.76,1.14,-65.31,6.1,3.42,0.0,clockwise_wrist_turn
-0.03,-0.47,1.08,-18.01,4.94,7.69,0.0,clockwise_wrist_turn
0.03,-0.31,1.02,-1.46,3.54,2.14,0.0,clockwise_wrist_turn
-0.04,-0.17,0.99,-4.52,3.91,0.49,0.0,clockwise_wrist_turn
-0.08,-0.09,0.99,-21.36,4.94,3.66,0.0,clockwise_wrist_turn
-0.07,-0.08,1.0,-41.75,4.52,2.81,0.0,clockwise_wrist_turn
-0.08,-0.15,1.01,-55.91,3.48,3.42,0.0,clockwise_wrist_turn
-0.07,-0.27,1.02,-58.29,2.62,1.95,0.0,clockwise_wrist_turn
-0.05,-0.33,1.01,-53.34,1.34,0.61,0.0,clockwise_wrist_turn
-0.04,-0.36,0.99,-43.33,0.49,0.79,0.0,clockwise_wrist_turn
-0.03,-0.39,1.0,-29.85,-0.31,0.43,0.0,clockwise_wrist_turn
-0.01,-0.38,1.01,-16.3,-0.49,0.67,0.0,clockwise_wrist_turn
0.0,-0.33,1.03,-8.91,-0.43,0.49,0.0,clockwise_wrist_turn
0.01,-0.29,1.03,-6.96,-0.31,0.24,0.0,clockwise_wrist_turn
0.01,-0.28,1.02,-6.65,-0.43,0.12,0.0,clockwise_wrist_turn
0.0,-0.27,1.0,-8.0,-0.85,-0.61,0.0,clockwise_wrist_turn
-0.0,-0.26,0.98,-10.74,-0.92,-0.79,0.0,clockwise_wrist_turn
-0.01,-0.27,0.97,-13.43,-0.49,-0.79,0.0,clockwise_wrist_turn
-0.01,-0.29,0.96,-14.71,-0.06,-0.85,0.0,clockwise_wrist_turn
-0.01,-0.3,0.96,-15.32,0.43,-0.43,0.0,clockwise_wrist_turn
-0.01,-0.3,0.97,-15.38,0.73,0.18,0.0,clockwise_wrist_turn
-0.01,-0.31,0.99,-14.16,1.04,0.61,0.0,clockwise_wrist_turn
-0.01,-0.31,1.0,-12.21,1.46,0.98,0.0,clockwise_wrist_turn
-0.01,-0.32,1.01,-9.58,1.65,1.4,0.0,clockwise_wrist_turn
-0.02,-0.31,1.01,-7.32,1.71,1.77,0.0,clockwise_wrist_turn
-0.02,-0.3,1.0,-6.9,1.53,2.2,0.0,clockwise_wrist_turn
-0.03,-0.29,0.99,-7.87,1.46,2.87,0.0,clockwise_wrist_turn
-0.03,-0.29,0.99,-9.58,1.46,3.54,0.0,clockwise_wrist_turn
-0.03,-0.3,0.99,-11.29,1.34,4.27,0.0,clockwise_wrist_turn
-0.03,-0.31,0.99,-12.57,1.1,4.58,0.0,clockwise_wrist_turn
-0.03,-0.32,1.0,-13.06,0.61,4.7,0.0,clockwise_wrist_turn
