ax,ay,az,gx,gy,gz,target,target_name
0.08,-1.04,0.88,14.59,13.49,-179.32,11.0,palm_down_right_swipe
0.03,-0.86,0.93,2.69,17.46,-198.24,11.0,palm_down_right_swipe
-0.03,-0.74,0.95,-12.27,21.73,-216.43,11.0,palm_down_right_swipe
-0.07,-0.63,0.97,-27.89,26.98,-231.81,11.0,palm_down_right_swipe
-0.13,-0.52,0.99,-41.87,33.02,-242.86,11.0,palm_down_right_swipe
-0.2,-0.48,0.97,-50.54,39.06,-252.2,11.0,palm_down_right_swipe
-0.24,-0.5,0.94,-49.5,45.72,-256.41,11.0,palm_down_right_swipe
-0.29,-0.47,0.91,-44.19,51.51,-258.12,11.0,palm_down_right_swipe
-0.38,-0.33,0.94,-39.37,56.03,-262.21,11.0,palm_down_right_swipe
-0.5,-0.17,1.0,-34.36,59.45,-264.22,11.0,palm_down_right_swipe
-0.59,-0.03,1.04,-29.42,61.77,-262.7,11.0,palm_down_right_swipe
-0.64,0.11,1.09,-23.5,63.42,-257.2,11.0,palm_down_right_swipe
-0.66,0.21,1.09,-16.72,64.03,-247.5,11.0,palm_down_right_swipe
-0.66,0.28,1.07,-7.45,63.72,-234.31,11.0,palm_down_right_swipe
-0.64,0.35,1.04,3.72,62.62,-221.37,11.0,palm_down_right_swipe
-0.61,0.43,1.02,14.16,61.16,-210.33,11.0,palm_down_right_swipe
-0.57,0.49,1.01,21.48,59.57,-197.45,11.0,palm_down_right_swipe
-0.52,0.54,0.99,23.74,58.17,-183.04,11.0,palm_down_right_swipe
-0.46,0.57,0.99,23.68,56.7,-167.79,11.0,palm_down_right_swipe
-0.42,0.59,1.0,21.24,54.81,-152.28,11.0,palm_down_right_swipe
-0.4,0.62,1.02,18.37,51.94,-137.76,11.0,palm_down_right_swipe
-0.4,0.67,1.04,14.77,48.28,-123.35,11.0,palm_down_right_swipe
-0.39,0.7,1.06,8.67,44.07,-108.15,11.0,palm_down_right_swipe
-0.36,0.68,1.06,2.44,39.37,-93.63,11.0,palm_down_right_swipe
-0.32,0.64,1.05,-1.1,34.36,-80.38,11.0,palm_down_right_swipe
-0.28,0.61,1.05,-1.89,28.99,-68.79,11.0,palm_down_right_swipe
-0.26,0.6,1.03,-2.26,24.54,-58.11,11.0,palm_down_right_swipe
-0.24,0.59,1.02,-4.15,20.81,-47.97,11.0,palm_down_right_swipe
-0.21,0.58,1.03,-7.08,17.46,-39.37,11.0,palm_down_right_swipe
-0.2,0.56,1.03,-10.93,14.28,-32.41,11.0,palm_down_right_swipe
-0.18,0.52,1.03,-14.28,11.05,-26.98,11.0,palm_down_right_swipe
-0.16,0.47,1.04,-15.69,8.0,-22.46,11.0,palm_down_right_swipe
-0.15,0.39,1.07,-13.37,4.52,-18.19,11.0,palm_down_right_swipe
-0.13,0.34,1.08,-6.59,0.24,-14.71,11.0,palm_down_right_swipe
-0.12,0.34,1.08,-0.31,-3.48,-9.95,11.0,palm_down_right_swipe
-0.11,0.38,1.07,2.87,-6.35,-5.07,11.0,palm_down_right_swipe
